Les pomme sont vertes;La pomme sont vertes;les;la;pomme;determiners
Les homme jouent dans le jardin;L' homme jouent dans le jardin;l';l';homme;determiners
Une arbres chante bien;Le arbres chante bien;les;le;arbres;determiners
La voiture est dans le placard;Le voiture est dans le placard;la;le;voiture;determiners
Une fleurs chante bien;La fleurs chante bien;les;la;fleurs;determiners
La voiture est dans le placard;Le voiture est dans le placard;la;le;voiture;determiners
Les chien sont vertes;La chien sont vertes;le;la;chien;determiners
Les arbres sont très mignons;Le arbres sont très mignons;les;le;arbres;determiners
Ces robe sont contents;Le robe sont contents;la;le;robe;determiners
Les oiseau jouent dans le jardin;La oiseau jouent dans le jardin;le;la;oiseau;determiners
La chat est rouge;La chat est rouge;le;la;chat;determiners
Une chat chante bien;La chat chante bien;le;la;chat;determiners
Les chambre sont vertes;Le chambre sont vertes;la;le;chambre;determiners
Un voitures parle à la foule;La voitures parle à la foule;les;la;voitures;determiners
Les garçon jouent dans le jardin;La garçon jouent dans le jardin;le;la;garçon;determiners
(base) ep757@bubbles:~/BLiMP-FR$ rm determiner_augment.py
rm: cannot remove 'determiner_augment.py': No such file or directory
(base) ep757@bubbles:~/BLiMP-FR$ vi det_agreement_augment.py
(base) ep757@bubbles:~/BLiMP-FR$ CUDA_VISIBLE_DEVICES=1 python3 det_agreement_augment.py
✅ Generated 100 minimal pairs saved to 'determiner_agreement_100_pairs.csv'.
(base) ep757@bubbles:~/BLiMP-FR$ cat determiner_agreement_100_pairs.csv 
good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Les enfants sont contents.;Le enfants sont contents.;les;le;enfants;determiners_agreement
Le chien est dans le placard.;La chien est dans le placard.;le;la;chien;determiners_agreement
Le chat est rouge.;La chat est rouge.;le;la;chat;determiners_agreement
Les amis est chère.;Le amis est chère.;les;le;amis;determiners_agreement
L' enfant sont très mignons.;L' enfant sont très mignons.;l';l';enfant;determiners_agreement
Les choses est noir.;La choses est noir.;les;la;choses;determiners_agreement
Le chat parle à la foule.;La chat parle à la foule.;le;la;chat;determiners_agreement
Les fleurs est chère.;La fleurs est chère.;les;la;fleurs;determiners_agreement
Le chat sont très mignons.;La chat sont très mignons.;le;la;chat;determiners_agreement
L' enfant est rouge.;L' enfant est rouge.;l';l';enfant;determiners_agreement
L' hôtel sont contents.;L' hôtel sont contents.;l';l';hôtel;determiners_agreement
Le garçon chante bien.;La garçon chante bien.;le;la;garçon;determiners_agreement
La voiture sont très mignons.;Le voiture sont très mignons.;la;le;voiture;determiners_agreement
La fille est noir.;Le fille est noir.;la;le;fille;determiners_agreement
La robe est rouge.;Le robe est rouge.;la;le;robe;determiners_agreement
Le chat sont vertes.;La chat sont vertes.;le;la;chat;determiners_agreement
La fille sont vertes.;Le fille sont vertes.;la;le;fille;determiners_agreement
La fille chante bien.;Le fille chante bien.;la;le;fille;determiners_agreement
Les amis parle à la foule.;Le amis parle à la foule.;les;le;amis;determiners_agreement
L' homme est noir.;L' homme est noir.;l';l';homme;determiners_agreement
Les voitures sont très mignons.;La voitures sont très mignons.;les;la;voitures;determiners_agreement
L' homme sont contents.;L' homme sont contents.;l';l';homme;determiners_agreement
L' enfant chante bien.;L' enfant chante bien.;l';l';enfant;determiners_agreement
Les choses chante bien.;La choses chante bien.;les;la;choses;determiners_agreement
L' enfant parle à la foule.;L' enfant parle à la foule.;l';l';enfant;determiners_agreement
Les pommes sont très mignons.;La pommes sont très mignons.;les;la;pommes;determiners_agreement
L' homme sont très mignons.;L' homme sont très mignons.;l';l';homme;determiners_agreement
L' école est rouge.;L' école est rouge.;l';l';école;determiners_agreement
Le professeur est noir.;La professeur est noir.;le;la;professeur;determiners_agreement
La fille est chère.;Le fille est chère.;la;le;fille;determiners_agreement
Les fleurs parle à la foule.;La fleurs parle à la foule.;les;la;fleurs;determiners_agreement
Les arbres sont contents.;Le arbres sont contents.;les;le;arbres;determiners_agreement
Les voitures jouent dans le jardin.;La voitures jouent dans le jardin.;les;la;voitures;determiners_agreement
La voiture est rouge.;Le voiture est rouge.;la;le;voiture;determiners_agreement
Le garçon est rouge.;La garçon est rouge.;le;la;garçon;determiners_agreement
Le garçon sont très mignons.;La garçon sont très mignons.;le;la;garçon;determiners_agreement
L' homme sont très mignons.;L' homme sont très mignons.;l';l';homme;determiners_agreement
La fille sont très mignons.;Le fille sont très mignons.;la;le;fille;determiners_agreement
L' hôtel est rouge.;L' hôtel est rouge.;l';l';hôtel;determiners_agreement
L' enfant est rouge.;L' enfant est rouge.;l';l';enfant;determiners_agreement
La chambre sont vertes.;Le chambre sont vertes.;la;le;chambre;determiners_agreement
Les arbres est chère.;Le arbres est chère.;les;le;arbres;determiners_agreement
L' hôtel sont contents.;L' hôtel sont contents.;l';l';hôtel;determiners_agreement
L' enfant est rouge.;L' enfant est rouge.;l';l';enfant;determiners_agreement
Le chat est noir.;La chat est noir.;le;la;chat;determiners_agreement
L' enfant jouent dans le jardin.;L' enfant jouent dans le jardin.;l';l';enfant;determiners_agreement
La voiture est rouge.;Le voiture est rouge.;la;le;voiture;determiners_agreement
Le chat est chère.;La chat est chère.;le;la;chat;determiners_agreement
La fille sont vertes.;Le fille sont vertes.;la;le;fille;determiners_agreement
La robe est chère.;Le robe est chère.;la;le;robe;determiners_agreement
Le garçon sont contents.;La garçon sont contents.;le;la;garçon;determiners_agreement
Les fleurs est rouge.;La fleurs est rouge.;les;la;fleurs;determiners_agreement
Le oiseau est rouge.;La oiseau est rouge.;le;la;oiseau;determiners_agreement
Les amis sont vertes.;Le amis sont vertes.;les;le;amis;determiners_agreement
Les choses est chère.;La choses est chère.;les;la;choses;determiners_agreement
L' enfant parle à la foule.;L' enfant parle à la foule.;l';l';enfant;determiners_agreement
Les enfants sont très mignons.;Le enfants sont très mignons.;les;le;enfants;determiners_agreement
La voiture est rouge.;Le voiture est rouge.;la;le;voiture;determiners_agreement
L' hôtel sont vertes.;L' hôtel sont vertes.;l';l';hôtel;determiners_agreement
Les choses est noir.;La choses est noir.;les;la;choses;determiners_agreement
L' école sont vertes.;L' école sont vertes.;l';l';école;determiners_agreement
L' enfant est rouge.;L' enfant est rouge.;l';l';enfant;determiners_agreement
La fille sont vertes.;Le fille sont vertes.;la;le;fille;determiners_agreement
La voiture est noir.;Le voiture est noir.;la;le;voiture;determiners_agreement
Les enfants est noir.;Le enfants est noir.;les;le;enfants;determiners_agreement
Le chat est dans le placard.;La chat est dans le placard.;le;la;chat;determiners_agreement
La voiture chante bien.;Le voiture chante bien.;la;le;voiture;determiners_agreement
Les amis jouent dans le jardin.;Le amis jouent dans le jardin.;les;le;amis;determiners_agreement
Les fleurs sont contents.;La fleurs sont contents.;les;la;fleurs;determiners_agreement
L' hôtel est rouge.;L' hôtel est rouge.;l';l';hôtel;determiners_agreement
L' homme jouent dans le jardin.;L' homme jouent dans le jardin.;l';l';homme;determiners_agreement
La voiture est chère.;Le voiture est chère.;la;le;voiture;determiners_agreement
Les voitures est chère.;La voitures est chère.;les;la;voitures;determiners_agreement
La voiture parle à la foule.;Le voiture parle à la foule.;la;le;voiture;determiners_agreement
Le garçon est rouge.;La garçon est rouge.;le;la;garçon;determiners_agreement
Les enfants chante bien.;Le enfants chante bien.;les;le;enfants;determiners_agreement
La chambre parle à la foule.;Le chambre parle à la foule.;la;le;chambre;determiners_agreement
L' enfant sont vertes.;L' enfant sont vertes.;l';l';enfant;determiners_agreement
Les amis parle à la foule.;Le amis parle à la foule.;les;le;amis;determiners_agreement
L' homme est rouge.;L' homme est rouge.;l';l';homme;determiners_agreement
Les voitures est dans le placard.;La voitures est dans le placard.;les;la;voitures;determiners_agreement
Les enfants jouent dans le jardin.;Le enfants jouent dans le jardin.;les;le;enfants;determiners_agreement
La chambre est chère.;Le chambre est chère.;la;le;chambre;determiners_agreement
Les arbres est chère.;Le arbres est chère.;les;le;arbres;determiners_agreement
L' hôtel parle à la foule.;L' hôtel parle à la foule.;l';l';hôtel;determiners_agreement
L' homme sont vertes.;L' homme sont vertes.;l';l';homme;determiners_agreement
Les fleurs sont très mignons.;La fleurs sont très mignons.;les;la;fleurs;determiners_agreement
L' hôtel sont vertes.;L' hôtel sont vertes.;l';l';hôtel;determiners_agreement
L' enfant est rouge.;L' enfant est rouge.;l';l';enfant;determiners_agreement
Les voitures est dans le placard.;La voitures est dans le placard.;les;la;voitures;determiners_agreement
Les choses est dans le placard.;La choses est dans le placard.;les;la;choses;determiners_agreement
La robe chante bien.;Le robe chante bien.;la;le;robe;determiners_agreement
Les arbres est noir.;Le arbres est noir.;les;le;arbres;determiners_agreement
Les voitures est noir.;La voitures est noir.;les;la;voitures;determiners_agreement
Les amis sont contents.;Le amis sont contents.;les;le;amis;determiners_agreement
Le garçon est dans le placard.;La garçon est dans le placard.;le;la;garçon;determiners_agreement
Les pommes chante bien.;La pommes chante bien.;les;la;pommes;determiners_agreement
Les pommes est dans le placard.;La pommes est dans le placard.;les;la;pommes;determiners_agreement
Le oiseau jouent dans le jardin.;La oiseau jouent dans le jardin.;le;la;oiseau;determiners_agreement
L' école jouent dans le jardin.;L' école jouent dans le jardin.;l';l';école;determiners_agreement
