good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Aujourd'hui, Elles sont restées.;Aujourd'hui, Elles sont resté.;restées;resté;restées;auxiliary_agreement
Aujourd'hui, Elles sont entrées.;Aujourd'hui, Elles sont entré.;entrées;entré;entrées;auxiliary_agreement
Aujourd'hui, Elles sont tombées.;Aujourd'hui, Elles sont tombé.;tombées;tombé;tombées;auxiliary_agreement
Je suis allé ce matin.;Je suis allée ce matin.;allé;allée;allé;auxiliary_agreement
Je suis parti ce matin.;Je suis partie ce matin.;parti;partie;parti;auxiliary_agreement
Je suis venu ce matin.;Je suis venue ce matin.;venu;venue;venu;auxiliary_agreement
Je suis arrivé ce matin.;Je suis arrivée ce matin.;arrivé;arrivée;arrivé;auxiliary_agreement
Je suis monté ce matin.;Je suis montée ce matin.;monté;montée;monté;auxiliary_agreement
Je suis descendu ce matin.;Je suis descendue ce matin.;descendu;descendue;descendu;auxiliary_agreement
Je suis né ce matin.;Je suis née ce matin.;né;née;né;auxiliary_agreement
Je suis resté ce matin.;Je suis restée ce matin.;resté;restée;resté;auxiliary_agreement
Je suis entré ce matin.;Je suis entrée ce matin.;entré;entrée;entré;auxiliary_agreement
Je suis tombé ce matin.;Je suis tombée ce matin.;tombé;tombée;tombé;auxiliary_agreement
Je suis allée ce matin.;Je suis allés ce matin.;allée;allés;allée;auxiliary_agreement
Je suis partie ce matin.;Je suis partis ce matin.;partie;partis;partie;auxiliary_agreement
Je suis venue ce matin.;Je suis venus ce matin.;venue;venus;venue;auxiliary_agreement
Je suis arrivée ce matin.;Je suis arrivés ce matin.;arrivée;arrivés;arrivée;auxiliary_agreement
Je suis montée ce matin.;Je suis montés ce matin.;montée;montés;montée;auxiliary_agreement
Je suis descendue ce matin.;Je suis descendus ce matin.;descendue;descendus;descendue;auxiliary_agreement
Je suis née ce matin.;Je suis nés ce matin.;née;nés;née;auxiliary_agreement
Je suis restée ce matin.;Je suis restés ce matin.;restée;restés;restée;auxiliary_agreement
Je suis entrée ce matin.;Je suis entrés ce matin.;entrée;entrés;entrée;auxiliary_agreement
Je suis tombée ce matin.;Je suis tombés ce matin.;tombée;tombés;tombée;auxiliary_agreement
Tu es allé ce matin.;Tu es allée ce matin.;allé;allée;allé;auxiliary_agreement
Tu es parti ce matin.;Tu es partie ce matin.;parti;partie;parti;auxiliary_agreement
Tu es venu ce matin.;Tu es venue ce matin.;venu;venue;venu;auxiliary_agreement
Tu es arrivé ce matin.;Tu es arrivée ce matin.;arrivé;arrivée;arrivé;auxiliary_agreement
Tu es monté ce matin.;Tu es montée ce matin.;monté;montée;monté;auxiliary_agreement
Tu es descendu ce matin.;Tu es descendue ce matin.;descendu;descendue;descendu;auxiliary_agreement
Tu es né ce matin.;Tu es née ce matin.;né;née;né;auxiliary_agreement
Tu es resté ce matin.;Tu es restée ce matin.;resté;restée;resté;auxiliary_agreement
Tu es entré ce matin.;Tu es entrée ce matin.;entré;entrée;entré;auxiliary_agreement
Tu es tombé ce matin.;Tu es tombée ce matin.;tombé;tombée;tombé;auxiliary_agreement
Tu es allée ce matin.;Tu es allés ce matin.;allée;allés;allée;auxiliary_agreement
Tu es partie ce matin.;Tu es partis ce matin.;partie;partis;partie;auxiliary_agreement
Tu es venue ce matin.;Tu es venus ce matin.;venue;venus;venue;auxiliary_agreement
Tu es arrivée ce matin.;Tu es arrivés ce matin.;arrivée;arrivés;arrivée;auxiliary_agreement
Tu es montée ce matin.;Tu es montés ce matin.;montée;montés;montée;auxiliary_agreement
Tu es descendue ce matin.;Tu es descendus ce matin.;descendue;descendus;descendue;auxiliary_agreement
Tu es née ce matin.;Tu es nés ce matin.;née;nés;née;auxiliary_agreement
Tu es restée ce matin.;Tu es restés ce matin.;restée;restés;restée;auxiliary_agreement
Tu es entrée ce matin.;Tu es entrés ce matin.;entrée;entrés;entrée;auxiliary_agreement
Tu es tombée ce matin.;Tu es tombés ce matin.;tombée;tombés;tombée;auxiliary_agreement
Il est allé ce matin.;Il est allée ce matin.;allé;allée;allé;auxiliary_agreement
Il est parti ce matin.;Il est partie ce matin.;parti;partie;parti;auxiliary_agreement
Il est venu ce matin.;Il est venue ce matin.;venu;venue;venu;auxiliary_agreement
Il est arrivé ce matin.;Il est arrivée ce matin.;arrivé;arrivée;arrivé;auxiliary_agreement
Il est monté ce matin.;Il est montée ce matin.;monté;montée;monté;auxiliary_agreement
Il est descendu ce matin.;Il est descendue ce matin.;descendu;descendue;descendu;auxiliary_agreement
Il est né ce matin.;Il est née ce matin.;né;née;né;auxiliary_agreement
Il est resté ce matin.;Il est restée ce matin.;resté;restée;resté;auxiliary_agreement
Il est entré ce matin.;Il est entrée ce matin.;entré;entrée;entré;auxiliary_agreement
Il est tombé ce matin.;Il est tombée ce matin.;tombé;tombée;tombé;auxiliary_agreement
Elle est allée ce matin.;Elle est allés ce matin.;allée;allés;allée;auxiliary_agreement
Elle est partie ce matin.;Elle est partis ce matin.;partie;partis;partie;auxiliary_agreement
Elle est venue ce matin.;Elle est venus ce matin.;venue;venus;venue;auxiliary_agreement
Elle est arrivée ce matin.;Elle est arrivés ce matin.;arrivée;arrivés;arrivée;auxiliary_agreement
Elle est montée ce matin.;Elle est montés ce matin.;montée;montés;montée;auxiliary_agreement
Elle est descendue ce matin.;Elle est descendus ce matin.;descendue;descendus;descendue;auxiliary_agreement
Elle est née ce matin.;Elle est nés ce matin.;née;nés;née;auxiliary_agreement
Elle est restée ce matin.;Elle est restés ce matin.;restée;restés;restée;auxiliary_agreement
Elle est entrée ce matin.;Elle est entrés ce matin.;entrée;entrés;entrée;auxiliary_agreement
Elle est tombée ce matin.;Elle est tombés ce matin.;tombée;tombés;tombée;auxiliary_agreement
Nous sommes allés ce matin.;Nous sommes allées ce matin.;allés;allées;allés;auxiliary_agreement
Nous sommes partis ce matin.;Nous sommes parties ce matin.;partis;parties;partis;auxiliary_agreement
Nous sommes venus ce matin.;Nous sommes venues ce matin.;venus;venues;venus;auxiliary_agreement
Nous sommes arrivés ce matin.;Nous sommes arrivées ce matin.;arrivés;arrivées;arrivés;auxiliary_agreement
Nous sommes montés ce matin.;Nous sommes montées ce matin.;montés;montées;montés;auxiliary_agreement
Nous sommes descendus ce matin.;Nous sommes descendues ce matin.;descendus;descendues;descendus;auxiliary_agreement
Nous sommes nés ce matin.;Nous sommes nées ce matin.;nés;nées;nés;auxiliary_agreement
Nous sommes restés ce matin.;Nous sommes restées ce matin.;restés;restées;restés;auxiliary_agreement
Nous sommes entrés ce matin.;Nous sommes entrées ce matin.;entrés;entrées;entrés;auxiliary_agreement
Nous sommes tombés ce matin.;Nous sommes tombées ce matin.;tombés;tombées;tombés;auxiliary_agreement
Nous sommes allées ce matin.;Nous sommes allé ce matin.;allées;allé;allées;auxiliary_agreement
Nous sommes parties ce matin.;Nous sommes parti ce matin.;parties;parti;parties;auxiliary_agreement
Nous sommes venues ce matin.;Nous sommes venu ce matin.;venues;venu;venues;auxiliary_agreement
Nous sommes arrivées ce matin.;Nous sommes arrivé ce matin.;arrivées;arrivé;arrivées;auxiliary_agreement
Nous sommes montées ce matin.;Nous sommes monté ce matin.;montées;monté;montées;auxiliary_agreement
Nous sommes descendues ce matin.;Nous sommes descendu ce matin.;descendues;descendu;descendues;auxiliary_agreement
Nous sommes nées ce matin.;Nous sommes né ce matin.;nées;né;nées;auxiliary_agreement
Nous sommes restées ce matin.;Nous sommes resté ce matin.;restées;resté;restées;auxiliary_agreement
Nous sommes entrées ce matin.;Nous sommes entré ce matin.;entrées;entré;entrées;auxiliary_agreement
Nous sommes tombées ce matin.;Nous sommes tombé ce matin.;tombées;tombé;tombées;auxiliary_agreement
Vous êtes allés ce matin.;Vous êtes allées ce matin.;allés;allées;allés;auxiliary_agreement
Vous êtes partis ce matin.;Vous êtes parties ce matin.;partis;parties;partis;auxiliary_agreement
Vous êtes venus ce matin.;Vous êtes venues ce matin.;venus;venues;venus;auxiliary_agreement
Vous êtes arrivés ce matin.;Vous êtes arrivées ce matin.;arrivés;arrivées;arrivés;auxiliary_agreement
Vous êtes montés ce matin.;Vous êtes montées ce matin.;montés;montées;montés;auxiliary_agreement
Vous êtes descendus ce matin.;Vous êtes descendues ce matin.;descendus;descendues;descendus;auxiliary_agreement
Vous êtes nés ce matin.;Vous êtes nées ce matin.;nés;nées;nés;auxiliary_agreement
Vous êtes restés ce matin.;Vous êtes restées ce matin.;restés;restées;restés;auxiliary_agreement
Vous êtes entrés ce matin.;Vous êtes entrées ce matin.;entrés;entrées;entrés;auxiliary_agreement
Vous êtes tombés ce matin.;Vous êtes tombées ce matin.;tombés;tombées;tombés;auxiliary_agreement
Vous êtes allées ce matin.;Vous êtes allé ce matin.;allées;allé;allées;auxiliary_agreement
Vous êtes parties ce matin.;Vous êtes parti ce matin.;parties;parti;parties;auxiliary_agreement
Vous êtes venues ce matin.;Vous êtes venu ce matin.;venues;venu;venues;auxiliary_agreement
Vous êtes arrivées ce matin.;Vous êtes arrivé ce matin.;arrivées;arrivé;arrivées;auxiliary_agreement
Vous êtes montées ce matin.;Vous êtes monté ce matin.;montées;monté;montées;auxiliary_agreement
Vous êtes descendues ce matin.;Vous êtes descendu ce matin.;descendues;descendu;descendues;auxiliary_agreement
Vous êtes nées ce matin.;Vous êtes né ce matin.;nées;né;nées;auxiliary_agreement
Vous êtes restées ce matin.;Vous êtes resté ce matin.;restées;resté;restées;auxiliary_agreement
Vous êtes entrées ce matin.;Vous êtes entré ce matin.;entrées;entré;entrées;auxiliary_agreement
Vous êtes tombées ce matin.;Vous êtes tombé ce matin.;tombées;tombé;tombées;auxiliary_agreement
Ils sont allés ce matin.;Ils sont allées ce matin.;allés;allées;allés;auxiliary_agreement
Ils sont partis ce matin.;Ils sont parties ce matin.;partis;parties;partis;auxiliary_agreement
Ils sont venus ce matin.;Ils sont venues ce matin.;venus;venues;venus;auxiliary_agreement
Ils sont arrivés ce matin.;Ils sont arrivées ce matin.;arrivés;arrivées;arrivés;auxiliary_agreement
Ils sont montés ce matin.;Ils sont montées ce matin.;montés;montées;montés;auxiliary_agreement
Ils sont descendus ce matin.;Ils sont descendues ce matin.;descendus;descendues;descendus;auxiliary_agreement
Ils sont nés ce matin.;Ils sont nées ce matin.;nés;nées;nés;auxiliary_agreement
Ils sont restés ce matin.;Ils sont restées ce matin.;restés;restées;restés;auxiliary_agreement
Ils sont entrés ce matin.;Ils sont entrées ce matin.;entrés;entrées;entrés;auxiliary_agreement
Ils sont tombés ce matin.;Ils sont tombées ce matin.;tombés;tombées;tombés;auxiliary_agreement
Elles sont allées ce matin.;Elles sont allé ce matin.;allées;allé;allées;auxiliary_agreement
Elles sont parties ce matin.;Elles sont parti ce matin.;parties;parti;parties;auxiliary_agreement
Elles sont venues ce matin.;Elles sont venu ce matin.;venues;venu;venues;auxiliary_agreement
Elles sont arrivées ce matin.;Elles sont arrivé ce matin.;arrivées;arrivé;arrivées;auxiliary_agreement
Elles sont montées ce matin.;Elles sont monté ce matin.;montées;monté;montées;auxiliary_agreement
Elles sont descendues ce matin.;Elles sont descendu ce matin.;descendues;descendu;descendues;auxiliary_agreement
Elles sont nées ce matin.;Elles sont né ce matin.;nées;né;nées;auxiliary_agreement
Elles sont restées ce matin.;Elles sont resté ce matin.;restées;resté;restées;auxiliary_agreement
Elles sont entrées ce matin.;Elles sont entré ce matin.;entrées;entré;entrées;auxiliary_agreement
Elles sont tombées ce matin.;Elles sont tombé ce matin.;tombées;tombé;tombées;auxiliary_agreement
Je suis allé à l'école.;Je suis allée à l'école.;allé;allée;allé;auxiliary_agreement
Je suis parti à l'école.;Je suis partie à l'école.;parti;partie;parti;auxiliary_agreement
Je suis venu à l'école.;Je suis venue à l'école.;venu;venue;venu;auxiliary_agreement
Je suis arrivé à l'école.;Je suis arrivée à l'école.;arrivé;arrivée;arrivé;auxiliary_agreement
Je suis monté à l'école.;Je suis montée à l'école.;monté;montée;monté;auxiliary_agreement
Je suis descendu à l'école.;Je suis descendue à l'école.;descendu;descendue;descendu;auxiliary_agreement
Je suis né à l'école.;Je suis née à l'école.;né;née;né;auxiliary_agreement
Je suis resté à l'école.;Je suis restée à l'école.;resté;restée;resté;auxiliary_agreement
Je suis entré à l'école.;Je suis entrée à l'école.;entré;entrée;entré;auxiliary_agreement
Je suis tombé à l'école.;Je suis tombée à l'école.;tombé;tombée;tombé;auxiliary_agreement
Je suis allée à l'école.;Je suis allés à l'école.;allée;allés;allée;auxiliary_agreement
Je suis partie à l'école.;Je suis partis à l'école.;partie;partis;partie;auxiliary_agreement
Je suis venue à l'école.;Je suis venus à l'école.;venue;venus;venue;auxiliary_agreement
Je suis arrivée à l'école.;Je suis arrivés à l'école.;arrivée;arrivés;arrivée;auxiliary_agreement
Je suis montée à l'école.;Je suis montés à l'école.;montée;montés;montée;auxiliary_agreement
Je suis descendue à l'école.;Je suis descendus à l'école.;descendue;descendus;descendue;auxiliary_agreement
Je suis née à l'école.;Je suis nés à l'école.;née;nés;née;auxiliary_agreement
Je suis restée à l'école.;Je suis restés à l'école.;restée;restés;restée;auxiliary_agreement
Je suis entrée à l'école.;Je suis entrés à l'école.;entrée;entrés;entrée;auxiliary_agreement
Je suis tombée à l'école.;Je suis tombés à l'école.;tombée;tombés;tombée;auxiliary_agreement
Tu es allé à l'école.;Tu es allée à l'école.;allé;allée;allé;auxiliary_agreement
Tu es parti à l'école.;Tu es partie à l'école.;parti;partie;parti;auxiliary_agreement
Tu es venu à l'école.;Tu es venue à l'école.;venu;venue;venu;auxiliary_agreement
Tu es arrivé à l'école.;Tu es arrivée à l'école.;arrivé;arrivée;arrivé;auxiliary_agreement
Tu es monté à l'école.;Tu es montée à l'école.;monté;montée;monté;auxiliary_agreement
Tu es descendu à l'école.;Tu es descendue à l'école.;descendu;descendue;descendu;auxiliary_agreement
Tu es né à l'école.;Tu es née à l'école.;né;née;né;auxiliary_agreement
Tu es resté à l'école.;Tu es restée à l'école.;resté;restée;resté;auxiliary_agreement
Tu es entré à l'école.;Tu es entrée à l'école.;entré;entrée;entré;auxiliary_agreement
Tu es tombé à l'école.;Tu es tombée à l'école.;tombé;tombée;tombé;auxiliary_agreement
Tu es allée à l'école.;Tu es allés à l'école.;allée;allés;allée;auxiliary_agreement
Tu es partie à l'école.;Tu es partis à l'école.;partie;partis;partie;auxiliary_agreement
Tu es venue à l'école.;Tu es venus à l'école.;venue;venus;venue;auxiliary_agreement
Tu es arrivée à l'école.;Tu es arrivés à l'école.;arrivée;arrivés;arrivée;auxiliary_agreement
Tu es montée à l'école.;Tu es montés à l'école.;montée;montés;montée;auxiliary_agreement
Tu es descendue à l'école.;Tu es descendus à l'école.;descendue;descendus;descendue;auxiliary_agreement
Tu es née à l'école.;Tu es nés à l'école.;née;nés;née;auxiliary_agreement
Tu es restée à l'école.;Tu es restés à l'école.;restée;restés;restée;auxiliary_agreement
Tu es entrée à l'école.;Tu es entrés à l'école.;entrée;entrés;entrée;auxiliary_agreement
Tu es tombée à l'école.;Tu es tombés à l'école.;tombée;tombés;tombée;auxiliary_agreement
Il est allé à l'école.;Il est allée à l'école.;allé;allée;allé;auxiliary_agreement
Il est parti à l'école.;Il est partie à l'école.;parti;partie;parti;auxiliary_agreement
Il est venu à l'école.;Il est venue à l'école.;venu;venue;venu;auxiliary_agreement
Il est arrivé à l'école.;Il est arrivée à l'école.;arrivé;arrivée;arrivé;auxiliary_agreement
Il est monté à l'école.;Il est montée à l'école.;monté;montée;monté;auxiliary_agreement
Il est descendu à l'école.;Il est descendue à l'école.;descendu;descendue;descendu;auxiliary_agreement
Il est né à l'école.;Il est née à l'école.;né;née;né;auxiliary_agreement
Il est resté à l'école.;Il est restée à l'école.;resté;restée;resté;auxiliary_agreement
Il est entré à l'école.;Il est entrée à l'école.;entré;entrée;entré;auxiliary_agreement
Il est tombé à l'école.;Il est tombée à l'école.;tombé;tombée;tombé;auxiliary_agreement
Elle est allée à l'école.;Elle est allés à l'école.;allée;allés;allée;auxiliary_agreement
Elle est partie à l'école.;Elle est partis à l'école.;partie;partis;partie;auxiliary_agreement
Elle est venue à l'école.;Elle est venus à l'école.;venue;venus;venue;auxiliary_agreement
Elle est arrivée à l'école.;Elle est arrivés à l'école.;arrivée;arrivés;arrivée;auxiliary_agreement
Elle est montée à l'école.;Elle est montés à l'école.;montée;montés;montée;auxiliary_agreement
Elle est descendue à l'école.;Elle est descendus à l'école.;descendue;descendus;descendue;auxiliary_agreement
Elle est née à l'école.;Elle est nés à l'école.;née;nés;née;auxiliary_agreement
Elle est restée à l'école.;Elle est restés à l'école.;restée;restés;restée;auxiliary_agreement
Elle est entrée à l'école.;Elle est entrés à l'école.;entrée;entrés;entrée;auxiliary_agreement
Elle est tombée à l'école.;Elle est tombés à l'école.;tombée;tombés;tombée;auxiliary_agreement
Nous sommes allés à l'école.;Nous sommes allées à l'école.;allés;allées;allés;auxiliary_agreement
Nous sommes partis à l'école.;Nous sommes parties à l'école.;partis;parties;partis;auxiliary_agreement
Nous sommes venus à l'école.;Nous sommes venues à l'école.;venus;venues;venus;auxiliary_agreement
Nous sommes arrivés à l'école.;Nous sommes arrivées à l'école.;arrivés;arrivées;arrivés;auxiliary_agreement
Nous sommes montés à l'école.;Nous sommes montées à l'école.;montés;montées;montés;auxiliary_agreement
Nous sommes descendus à l'école.;Nous sommes descendues à l'école.;descendus;descendues;descendus;auxiliary_agreement
Nous sommes nés à l'école.;Nous sommes nées à l'école.;nés;nées;nés;auxiliary_agreement
Nous sommes restés à l'école.;Nous sommes restées à l'école.;restés;restées;restés;auxiliary_agreement
Nous sommes entrés à l'école.;Nous sommes entrées à l'école.;entrés;entrées;entrés;auxiliary_agreement
Nous sommes tombés à l'école.;Nous sommes tombées à l'école.;tombés;tombées;tombés;auxiliary_agreement
Nous sommes allées à l'école.;Nous sommes allé à l'école.;allées;allé;allées;auxiliary_agreement
Nous sommes parties à l'école.;Nous sommes parti à l'école.;parties;parti;parties;auxiliary_agreement
Nous sommes venues à l'école.;Nous sommes venu à l'école.;venues;venu;venues;auxiliary_agreement
Nous sommes arrivées à l'école.;Nous sommes arrivé à l'école.;arrivées;arrivé;arrivées;auxiliary_agreement
Nous sommes montées à l'école.;Nous sommes monté à l'école.;montées;monté;montées;auxiliary_agreement
Nous sommes descendues à l'école.;Nous sommes descendu à l'école.;descendues;descendu;descendues;auxiliary_agreement
Nous sommes nées à l'école.;Nous sommes né à l'école.;nées;né;nées;auxiliary_agreement
Nous sommes restées à l'école.;Nous sommes resté à l'école.;restées;resté;restées;auxiliary_agreement
Nous sommes entrées à l'école.;Nous sommes entré à l'école.;entrées;entré;entrées;auxiliary_agreement
Nous sommes tombées à l'école.;Nous sommes tombé à l'école.;tombées;tombé;tombées;auxiliary_agreement
Vous êtes allés à l'école.;Vous êtes allées à l'école.;allés;allées;allés;auxiliary_agreement
Vous êtes partis à l'école.;Vous êtes parties à l'école.;partis;parties;partis;auxiliary_agreement
Vous êtes venus à l'école.;Vous êtes venues à l'école.;venus;venues;venus;auxiliary_agreement
Vous êtes arrivés à l'école.;Vous êtes arrivées à l'école.;arrivés;arrivées;arrivés;auxiliary_agreement
Vous êtes montés à l'école.;Vous êtes montées à l'école.;montés;montées;montés;auxiliary_agreement
Vous êtes descendus à l'école.;Vous êtes descendues à l'école.;descendus;descendues;descendus;auxiliary_agreement
Vous êtes nés à l'école.;Vous êtes nées à l'école.;nés;nées;nés;auxiliary_agreement
Vous êtes restés à l'école.;Vous êtes restées à l'école.;restés;restées;restés;auxiliary_agreement
Vous êtes entrés à l'école.;Vous êtes entrées à l'école.;entrés;entrées;entrés;auxiliary_agreement
Vous êtes tombés à l'école.;Vous êtes tombées à l'école.;tombés;tombées;tombés;auxiliary_agreement
Vous êtes allées à l'école.;Vous êtes allé à l'école.;allées;allé;allées;auxiliary_agreement
Vous êtes parties à l'école.;Vous êtes parti à l'école.;parties;parti;parties;auxiliary_agreement
Vous êtes venues à l'école.;Vous êtes venu à l'école.;venues;venu;venues;auxiliary_agreement
Vous êtes arrivées à l'école.;Vous êtes arrivé à l'école.;arrivées;arrivé;arrivées;auxiliary_agreement
Vous êtes montées à l'école.;Vous êtes monté à l'école.;montées;monté;montées;auxiliary_agreement
Vous êtes descendues à l'école.;Vous êtes descendu à l'école.;descendues;descendu;descendues;auxiliary_agreement
Vous êtes nées à l'école.;Vous êtes né à l'école.;nées;né;nées;auxiliary_agreement
Vous êtes restées à l'école.;Vous êtes resté à l'école.;restées;resté;restées;auxiliary_agreement
Vous êtes entrées à l'école.;Vous êtes entré à l'école.;entrées;entré;entrées;auxiliary_agreement
Vous êtes tombées à l'école.;Vous êtes tombé à l'école.;tombées;tombé;tombées;auxiliary_agreement
Ils sont allés à l'école.;Ils sont allées à l'école.;allés;allées;allés;auxiliary_agreement
